date,open,close,high,low,volume,amount,amplitude_pct,pct_change,change,turnover_pct,source
2025-09-12,54.16,53.70,54.33,52.75,47903,258705458.97,2.90,-1.30,-0.71,13.72,eastmoney
2025-09-15,53.36,56.77,58.12,52.74,85277,478526726.23,10.02,5.72,3.07,24.42,eastmoney
2025-09-16,56.67,55.74,56.67,54.38,59120,330455822.44,4.03,-1.81,-1.03,16.93,eastmoney
2025-09-17,55.74,54.63,56.35,54.47,37495,208825890.52,3.37,-1.99,-1.11,10.74,eastmoney
2025-09-18,54.48,55.18,56.91,53.69,63013,353340395.27,5.89,1.01,0.55,18.04,eastmoney
2025-09-19,54.55,60.75,60.75,53.97,107318,627507033.61,12.29,10.09,5.57,30.73,eastmoney
2025-09-22,62.37,66.88,66.88,60.77,104045,670789882.47,10.06,10.09,6.13,29.79,eastmoney
2025-09-23,69.27,63.31,69.45,60.32,115230,740559337.09,13.65,-5.34,-3.57,32.99,eastmoney
2025-09-24,66.11,69.69,69.69,63.17,113546,762292441.69,10.30,10.08,6.38,32.51,eastmoney
2025-09-25,68.47,68.79,73.20,66.47,116703,820849712.53,9.66,-1.29,-0.90,33.42,eastmoney
2025-09-26,65.99,62.91,66.47,62.87,80930,523256631.89,5.23,-8.55,-5.88,23.17,eastmoney
2025-09-29,61.80,62.28,63.97,61.68,50308,318795447.18,3.64,-1.00,-0.63,14.40,eastmoney
2025-09-30,62.17,61.13,62.58,60.47,48062,297006543.19,3.39,-1.85,-1.15,13.76,eastmoney
2025-10-09,60.94,61.45,62.99,60.23,47633,294862590.04,4.51,0.52,0.32,13.64,eastmoney
2025-10-10,61.45,64.76,65.56,60.83,69595,449552353.93,7.70,5.39,3.31,19.93,eastmoney
2025-10-13,62.47,66.53,66.70,61.98,53248,351133810.94,7.29,2.73,1.77,15.25,eastmoney
2025-10-14,66.37,65.77,66.72,63.94,45287,296856926.37,4.18,-1.14,-0.76,12.97,eastmoney
2025-10-15,64.92,66.28,66.64,64.90,31157,207318976.01,2.65,0.78,0.51,8.92,eastmoney
2025-10-16,66.07,68.32,69.47,65.47,44702,307070695.26,6.04,3.08,2.04,12.80,eastmoney
2025-10-17,68.42,65.06,68.80,64.47,34550,231968155.09,6.34,-4.77,-3.26,9.89,eastmoney
2025-10-20,64.77,64.27,65.75,63.97,26547,173225329.45,2.74,-1.21,-0.79,7.60,eastmoney
2025-10-21,64.27,64.92,64.92,63.54,21913,142092877.98,2.15,1.01,0.65,6.27,eastmoney
